From,UniprotID,Reviewed,Entry Name,Protein names,Gene,Organism,Length,Uniprot_Gene
SPG7,Q9UQ90,reviewed,SPG7_HUMAN,Paraplegin (EC 3.4.24.-) (Cell matrix adhesion regulator) (Spastic paraplegia 7 protein),SPG7 CAR CMAR PGN,Homo sapiens (Human),795,Q9UQ90_SPG7
SPG7,A0A087X0F5,unreviewed,A0A087X0F5_HUMAN,"SPG7 matrix AAA peptidase subunit, paraplegin",SPG7,Homo sapiens (Human),114,A0A087X0F5_SPG7
SPG7,A0A2R8Y3M4,unreviewed,A0A2R8Y3M4_HUMAN,"SPG7 matrix AAA peptidase subunit, paraplegin",SPG7,Homo sapiens (Human),809,A0A2R8Y3M4_SPG7
SPG7,A0A2R8Y4L0,unreviewed,A0A2R8Y4L0_HUMAN,"SPG7 matrix AAA peptidase subunit, paraplegin",SPG7,Homo sapiens (Human),278,A0A2R8Y4L0_SPG7
SPG7,A0A2R8Y4L7,unreviewed,A0A2R8Y4L7_HUMAN,"SPG7 matrix AAA peptidase subunit, paraplegin",SPG7,Homo sapiens (Human),250,A0A2R8Y4L7_SPG7
SPG7,A0A2R8Y4M0,unreviewed,A0A2R8Y4M0_HUMAN,"SPG7 matrix AAA peptidase subunit, paraplegin",SPG7,Homo sapiens (Human),383,A0A2R8Y4M0_SPG7
SPG7,A0A2R8Y4M8,unreviewed,A0A2R8Y4M8_HUMAN,"SPG7 matrix AAA peptidase subunit, paraplegin",SPG7,Homo sapiens (Human),320,A0A2R8Y4M8_SPG7
SPG7,A0A2R8Y4Y7,unreviewed,A0A2R8Y4Y7_HUMAN,"SPG7 matrix AAA peptidase subunit, paraplegin",SPG7,Homo sapiens (Human),751,A0A2R8Y4Y7_SPG7
SPG7,A0A2R8Y4Z7,unreviewed,A0A2R8Y4Z7_HUMAN,"SPG7 matrix AAA peptidase subunit, paraplegin",SPG7,Homo sapiens (Human),206,A0A2R8Y4Z7_SPG7
SPG7,A0A2R8Y530,unreviewed,A0A2R8Y530_HUMAN,"SPG7 matrix AAA peptidase subunit, paraplegin",SPG7,Homo sapiens (Human),107,A0A2R8Y530_SPG7
SPG7,A0A2R8Y617,unreviewed,A0A2R8Y617_HUMAN,"SPG7 matrix AAA peptidase subunit, paraplegin",SPG7,Homo sapiens (Human),162,A0A2R8Y617_SPG7
SPG7,A0A2R8Y632,unreviewed,A0A2R8Y632_HUMAN,"SPG7 matrix AAA peptidase subunit, paraplegin",SPG7,Homo sapiens (Human),463,A0A2R8Y632_SPG7
SPG7,A0A2R8Y6E8,unreviewed,A0A2R8Y6E8_HUMAN,"SPG7 matrix AAA peptidase subunit, paraplegin",SPG7,Homo sapiens (Human),485,A0A2R8Y6E8_SPG7
SPG7,A0A2R8Y6K2,unreviewed,A0A2R8Y6K2_HUMAN,"SPG7 matrix AAA peptidase subunit, paraplegin",SPG7,Homo sapiens (Human),641,A0A2R8Y6K2_SPG7
SPG7,A0A2R8Y6Z7,unreviewed,A0A2R8Y6Z7_HUMAN,"SPG7 matrix AAA peptidase subunit, paraplegin",SPG7,Homo sapiens (Human),339,A0A2R8Y6Z7_SPG7
SPG7,A0A2R8Y726,unreviewed,A0A2R8Y726_HUMAN,"SPG7 matrix AAA peptidase subunit, paraplegin",SPG7,Homo sapiens (Human),659,A0A2R8Y726_SPG7
SPG7,A0A2R8Y729,unreviewed,A0A2R8Y729_HUMAN,"SPG7 matrix AAA peptidase subunit, paraplegin",SPG7,Homo sapiens (Human),507,A0A2R8Y729_SPG7
SPG7,A0A2R8Y7B8,unreviewed,A0A2R8Y7B8_HUMAN,"SPG7 matrix AAA peptidase subunit, paraplegin",SPG7,Homo sapiens (Human),681,A0A2R8Y7B8_SPG7
SPG7,A0A2R8Y7E2,unreviewed,A0A2R8Y7E2_HUMAN,"SPG7 matrix AAA peptidase subunit, paraplegin",SPG7,Homo sapiens (Human),617,A0A2R8Y7E2_SPG7
SPG7,A0A2R8Y7N2,unreviewed,A0A2R8Y7N2_HUMAN,"SPG7 matrix AAA peptidase subunit, paraplegin",SPG7,Homo sapiens (Human),456,A0A2R8Y7N2_SPG7
SPG7,A0A2R8Y856,unreviewed,A0A2R8Y856_HUMAN,"SPG7 matrix AAA peptidase subunit, paraplegin",SPG7,Homo sapiens (Human),107,A0A2R8Y856_SPG7
SPG7,A0A2R8YCU3,unreviewed,A0A2R8YCU3_HUMAN,"SPG7 matrix AAA peptidase subunit, paraplegin",SPG7,Homo sapiens (Human),126,A0A2R8YCU3_SPG7
SPG7,A0A2R8YDM8,unreviewed,A0A2R8YDM8_HUMAN,"SPG7 matrix AAA peptidase subunit, paraplegin",SPG7,Homo sapiens (Human),128,A0A2R8YDM8_SPG7
SPG7,A0A2R8YDQ1,unreviewed,A0A2R8YDQ1_HUMAN,"SPG7 matrix AAA peptidase subunit, paraplegin",SPG7,Homo sapiens (Human),758,A0A2R8YDQ1_SPG7
SPG7,A0A2R8YDS3,unreviewed,A0A2R8YDS3_HUMAN,"SPG7 matrix AAA peptidase subunit, paraplegin",SPG7,Homo sapiens (Human),56,A0A2R8YDS3_SPG7
SPG7,A0A2R8YDU1,unreviewed,A0A2R8YDU1_HUMAN,"SPG7 matrix AAA peptidase subunit, paraplegin",SPG7,Homo sapiens (Human),164,A0A2R8YDU1_SPG7
SPG7,A0A2R8YDW8,unreviewed,A0A2R8YDW8_HUMAN,"SPG7 matrix AAA peptidase subunit, paraplegin",SPG7,Homo sapiens (Human),81,A0A2R8YDW8_SPG7
SPG7,A0A2R8YEH4,unreviewed,A0A2R8YEH4_HUMAN,"SPG7 matrix AAA peptidase subunit, paraplegin",SPG7,Homo sapiens (Human),493,A0A2R8YEH4_SPG7
SPG7,A0A2R8YFF4,unreviewed,A0A2R8YFF4_HUMAN,"SPG7 matrix AAA peptidase subunit, paraplegin",SPG7,Homo sapiens (Human),421,A0A2R8YFF4_SPG7
SPG7,A0A2R8YFJ7,unreviewed,A0A2R8YFJ7_HUMAN,"SPG7 matrix AAA peptidase subunit, paraplegin",SPG7,Homo sapiens (Human),511,A0A2R8YFJ7_SPG7
SPG7,A0A2R8YFN9,unreviewed,A0A2R8YFN9_HUMAN,"SPG7 matrix AAA peptidase subunit, paraplegin",SPG7,Homo sapiens (Human),181,A0A2R8YFN9_SPG7
SPG7,A0A2R8YFQ9,unreviewed,A0A2R8YFQ9_HUMAN,"SPG7 matrix AAA peptidase subunit, paraplegin",SPG7,Homo sapiens (Human),208,A0A2R8YFQ9_SPG7
SPG7,A0A2R8YFW4,unreviewed,A0A2R8YFW4_HUMAN,"SPG7 matrix AAA peptidase subunit, paraplegin",SPG7,Homo sapiens (Human),780,A0A2R8YFW4_SPG7
SPG7,A0A2R8YG79,unreviewed,A0A2R8YG79_HUMAN,"SPG7 matrix AAA peptidase subunit, paraplegin",SPG7,Homo sapiens (Human),358,A0A2R8YG79_SPG7
SPG7,A0A2R8YG90,unreviewed,A0A2R8YG90_HUMAN,"SPG7 matrix AAA peptidase subunit, paraplegin",SPG7,Homo sapiens (Human),27,A0A2R8YG90_SPG7
SPG7,A0A2R8YGV4,unreviewed,A0A2R8YGV4_HUMAN,"SPG7 matrix AAA peptidase subunit, paraplegin",SPG7,Homo sapiens (Human),258,A0A2R8YGV4_SPG7
SPG7,A0A2R8YGZ0,unreviewed,A0A2R8YGZ0_HUMAN,"SPG7 matrix AAA peptidase subunit, paraplegin",SPG7,Homo sapiens (Human),415,A0A2R8YGZ0_SPG7
SPG7,A0A2U3TZH1,unreviewed,A0A2U3TZH1_HUMAN,"SPG7 matrix AAA peptidase subunit, paraplegin",SPG7,Homo sapiens (Human),788,A0A2U3TZH1_SPG7
SPG7,H3BMP1,unreviewed,H3BMP1_HUMAN,"SPG7 matrix AAA peptidase subunit, paraplegin",SPG7,Homo sapiens (Human),238,H3BMP1_SPG7
SPG7,H3BNE4,unreviewed,H3BNE4_HUMAN,"SPG7 matrix AAA peptidase subunit, paraplegin",SPG7,Homo sapiens (Human),70,H3BNE4_SPG7
SPG7,H3BTR8,unreviewed,H3BTR8_HUMAN,"SPG7 matrix AAA peptidase subunit, paraplegin",SPG7,Homo sapiens (Human),106,H3BTR8_SPG7
SPG7,H3BTY6,unreviewed,H3BTY6_HUMAN,"SPG7 matrix AAA peptidase subunit, paraplegin",SPG7,Homo sapiens (Human),210,H3BTY6_SPG7
SPG7,J3KRF6,unreviewed,J3KRF6_HUMAN,"SPG7 matrix AAA peptidase subunit, paraplegin",SPG7,Homo sapiens (Human),357,J3KRF6_SPG7
AFG3L2,Q9Y4W6,reviewed,AFG32_HUMAN,AFG3-like protein 2 (EC 3.4.24.-) (Paraplegin-like protein),AFG3L2,Homo sapiens (Human),797,Q9Y4W6_AFG3L2
AFG3L2,A0A8I5KRT8,unreviewed,A0A8I5KRT8_HUMAN,AFG3 like matrix AAA peptidase subunit 2,AFG3L2,Homo sapiens (Human),120,A0A8I5KRT8_AFG3L2
AFG3L2,A0A8I5KVV1,unreviewed,A0A8I5KVV1_HUMAN,AFG3 like matrix AAA peptidase subunit 2,AFG3L2,Homo sapiens (Human),772,A0A8I5KVV1_AFG3L2
AFG3L2,A0A8I5KXN0,unreviewed,A0A8I5KXN0_HUMAN,AFG3 like matrix AAA peptidase subunit 2,AFG3L2,Homo sapiens (Human),98,A0A8I5KXN0_AFG3L2
AFG3L2,A0A8I5KYF5,unreviewed,A0A8I5KYF5_HUMAN,AFG3 like matrix AAA peptidase subunit 2,AFG3L2,Homo sapiens (Human),563,A0A8I5KYF5_AFG3L2
AFG3L2,A0A8I5QJR7,unreviewed,A0A8I5QJR7_HUMAN,AFG3 like matrix AAA peptidase subunit 2,AFG3L2,Homo sapiens (Human),751,A0A8I5QJR7_AFG3L2
AFG3L2,D3DUJ0,unreviewed,D3DUJ0_HUMAN,"AFG3 ATPase family gene 3-like 2 (Yeast), isoform CRA_a",AFG3L2 hCG_38275,Homo sapiens (Human),759,D3DUJ0_AFG3L2
AFG3L2,K7EP56,unreviewed,K7EP56_HUMAN,AFG3 like matrix AAA peptidase subunit 2,AFG3L2,Homo sapiens (Human),209,K7EP56_AFG3L2
PAPPA,Q13219,reviewed,PAPP1_HUMAN,Pappalysin-1 (EC 3.4.24.79) (Insulin-like growth factor-dependent IGF-binding protein 4 protease) (IGF-dependent IGFBP-4 protease) (IGFBP-4ase) (Pregnancy-associated plasma protein A) (PAPP-A),PAPPA,Homo sapiens (Human),1627,Q13219_PAPPA
PAPPA,A0A024R842,unreviewed,A0A024R842_HUMAN,"Pregnancy-associated plasma protein A, pappalysin 1, isoform CRA_b",PAPPA hCG_27397,Homo sapiens (Human),1420,A0A024R842_PAPPA
PAPPA,Q5QFB7,unreviewed,Q5QFB7_HUMAN,Pregnacy-associated plasma protein A,PAPPA,Homo sapiens (Human),186,Q5QFB7_PAPPA
PAPPA2,Q9BXP8,reviewed,PAPP2_HUMAN,Pappalysin-2 (EC 3.4.24.-) (Pregnancy-associated plasma protein A2) (PAPP-A2) (Pregnancy-associated plasma protein E1) (PAPP-E),PAPPA2 PLAC3,Homo sapiens (Human),1791,Q9BXP8_PAPPA2
FACE1,O75844,reviewed,FACE1_HUMAN,CAAX prenyl protease 1 homolog (EC 3.4.24.84) (Farnesylated proteins-converting enzyme 1) (FACE-1) (Prenyl protein-specific endoprotease 1) (Zinc metalloproteinase Ste24 homolog),ZMPSTE24 FACE1 STE24,Homo sapiens (Human),475,O75844_FACE1
OMA1,Q96E52,reviewed,OMA1_HUMAN,"Metalloendopeptidase OMA1, mitochondrial (EC 3.4.24.-) (Metalloprotease-related protein 1) (MPRP-1) (Overlapping with the m-AAA protease 1 homolog)",OMA1 MPRP1,Homo sapiens (Human),524,Q96E52_OMA1
OMA1,H7BZX2,unreviewed,H7BZX2_HUMAN,OMA1 zinc metallopeptidase,OMA1,Homo sapiens (Human),328,H7BZX2_OMA1
OMA1,S4R3A3,unreviewed,S4R3A3_HUMAN,OMA1 zinc metallopeptidase,OMA1,Homo sapiens (Human),87,S4R3A3_OMA1
OMA1,X6RD49,unreviewed,X6RD49_HUMAN,OMA1 zinc metallopeptidase,OMA1,Homo sapiens (Human),183,X6RD49_OMA1
OMA1,X6RDQ1,unreviewed,X6RDQ1_HUMAN,OMA1 zinc metallopeptidase,OMA1,Homo sapiens (Human),325,X6RDQ1_OMA1
OMA1,X6RIG5,unreviewed,X6RIG5_HUMAN,OMA1 zinc metallopeptidase,OMA1,Homo sapiens (Human),255,X6RIG5_OMA1
OMA1,X6RL62,unreviewed,X6RL62_HUMAN,OMA1 zinc metallopeptidase,OMA1,Homo sapiens (Human),252,X6RL62_OMA1
DPP3,Q9NY33,reviewed,DPP3_HUMAN,Dipeptidyl peptidase 3 (EC 3.4.14.4) (Dipeptidyl aminopeptidase III) (Dipeptidyl arylamidase III) (Dipeptidyl peptidase III) (DPP III) (Enkephalinase B),DPP3,Homo sapiens (Human),737,Q9NY33_DPP3
DPP3,E9PKK8,unreviewed,E9PKK8_HUMAN,Dipeptidyl peptidase 3,DPP3,Homo sapiens (Human),170,E9PKK8_DPP3
DPP3,E9PNX5,unreviewed,E9PNX5_HUMAN,Dipeptidyl peptidase 3,DPP3,Homo sapiens (Human),104,E9PNX5_DPP3
DPP3,E9PPK9,unreviewed,E9PPK9_HUMAN,Dipeptidyl peptidase 3,DPP3,Homo sapiens (Human),201,E9PPK9_DPP3
DPP3,E9PQ14,unreviewed,E9PQ14_HUMAN,Dipeptidyl peptidase 3,DPP3,Homo sapiens (Human),177,E9PQ14_DPP3
DPP3,E9PQF2,unreviewed,E9PQF2_HUMAN,Dipeptidyl peptidase 3,DPP3,Homo sapiens (Human),90,E9PQF2_DPP3
DPP3,G3V180,unreviewed,G3V180_HUMAN,Dipeptidyl peptidase 3 (EC 3.4.14.4) (Dipeptidyl aminopeptidase III) (Dipeptidyl peptidase III),DPP3 hCG_2016942,Homo sapiens (Human),757,G3V180_DPP3
DPP3,G3V1D3,unreviewed,G3V1D3_HUMAN,Dipeptidyl peptidase 3 (EC 3.4.14.4) (Dipeptidyl aminopeptidase III) (Dipeptidyl peptidase III),DPP3 hCG_2016942,Homo sapiens (Human),756,G3V1D3_DPP3
MBTPS2,O43462,reviewed,MBTP2_HUMAN,Membrane-bound transcription factor site-2 protease (EC 3.4.24.85) (Endopeptidase S2P) (Sterol regulatory element-binding proteins intramembrane protease) (SREBPs intramembrane protease),MBTPS2 S2P,Homo sapiens (Human),519,O43462_MBTPS2
MBTPS2,B9ZVQ3,unreviewed,B9ZVQ3_HUMAN,Membrane-bound transcription factor site-2 protease (EC 3.4.24.85) (Endopeptidase S2P),MBTPS2,Homo sapiens (Human),330,B9ZVQ3_MBTPS2
AMZ1,Q400G9,reviewed,AMZ1_HUMAN,Archaemetzincin-1 (EC 3.4.-.-) (Archeobacterial metalloproteinase-like protein 1),AMZ1 KIAA1950,Homo sapiens (Human),498,Q400G9_AMZ1
AMZ1,A4D202,unreviewed,A4D202_HUMAN,"Archaelysin family metallopeptidase 1 (Archaemetzincin-1, isoform CRA_a) (KIAA1950 protein) (cDNA FLJ76739, highly similar to Homo sapiens archaemetzincin-1 (AMZ1), mRNA)",KIAA1950 AMZ1 hCG_18440 tcag7.537,Homo sapiens (Human),498,A4D202_AMZ1
AMZ2,Q86W34,reviewed,AMZ2_HUMAN,Archaemetzincin-2 (EC 3.4.-.-) (Archeobacterial metalloproteinase-like protein 2),AMZ2 BM-014,Homo sapiens (Human),360,Q86W34_AMZ2
AMZ2,A0A024R8K0,unreviewed,A0A024R8K0_HUMAN,"Archaemetzincins-2, isoform CRA_d",AMZ2 hCG_28466,Homo sapiens (Human),360,A0A024R8K0_AMZ2
AMZ2,J3KRD0,unreviewed,J3KRD0_HUMAN,Archaelysin family metallopeptidase 2,AMZ2,Homo sapiens (Human),248,J3KRD0_AMZ2
AMZ2,J3KRS2,unreviewed,J3KRS2_HUMAN,Archaelysin family metallopeptidase 2,AMZ2,Homo sapiens (Human),201,J3KRS2_AMZ2
AMZ2,J3KS38,unreviewed,J3KS38_HUMAN,Archaelysin family metallopeptidase 2,AMZ2,Homo sapiens (Human),197,J3KS38_AMZ2
AMZ2,J3KSH1,unreviewed,J3KSH1_HUMAN,Archaelysin family metallopeptidase 2,AMZ2,Homo sapiens (Human),195,J3KSH1_AMZ2
AMZ2,J3KTM1,unreviewed,J3KTM1_HUMAN,Archaelysin family metallopeptidase 2,AMZ2,Homo sapiens (Human),221,J3KTM1_AMZ2
AMZ2,J3QL25,unreviewed,J3QL25_HUMAN,Archaelysin family metallopeptidase 2,AMZ2,Homo sapiens (Human),76,J3QL25_AMZ2
AMZ2,J3QLK6,unreviewed,J3QLK6_HUMAN,Archaelysin family metallopeptidase 2,AMZ2,Homo sapiens (Human),206,J3QLK6_AMZ2
AMZ2,J3QQR3,unreviewed,J3QQR3_HUMAN,Archaelysin family metallopeptidase 2,AMZ2,Homo sapiens (Human),23,J3QQR3_AMZ2
PSMD14,O00487,reviewed,PSDE_HUMAN,26S proteasome non-ATPase regulatory subunit 14 (EC 3.4.19.-) (26S proteasome regulatory subunit RPN11) (26S proteasome-associated PAD1 homolog 1),PSMD14 POH1,Homo sapiens (Human),310,O00487_PSMD14
PSMD14,C9JW37,unreviewed,C9JW37_HUMAN,"Proteasome 26S subunit, non-ATPase 14",PSMD14,Homo sapiens (Human),84,C9JW37_PSMD14
PSMD14,Q4ZG77,unreviewed,Q4ZG77_HUMAN,Uncharacterized protein PSMD14,PSMD14,Homo sapiens (Human),154,Q4ZG77_PSMD14
PSMD14,Q53TH1,unreviewed,Q53TH1_HUMAN,Uncharacterized protein PSMD14,PSMD14,Homo sapiens (Human),156,Q53TH1_PSMD14
COPS5,Q92905,reviewed,CSN5_HUMAN,COP9 signalosome complex subunit 5 (SGN5) (Signalosome subunit 5) (EC 3.4.-.-) (Jun activation domain-binding protein 1),COPS5 CSN5 JAB1,Homo sapiens (Human),334,Q92905_COPS5
COPS5,A0A024R7W9,unreviewed,A0A024R7W9_HUMAN,"COP9 constitutive photomorphogenic homolog subunit 5 (Arabidopsis), isoform CRA_a (Testis secretory sperm-binding protein Li 231m)",COPS5 hCG_27806,Homo sapiens (Human),334,A0A024R7W9_COPS5
COPS5,E5RFS1,unreviewed,E5RFS1_HUMAN,COP9 signalosome subunit 5,COPS5,Homo sapiens (Human),57,E5RFS1_COPS5
COPS5,E5RG35,unreviewed,E5RG35_HUMAN,COP9 signalosome subunit 5,COPS5,Homo sapiens (Human),68,E5RG35_COPS5
COPS5,E5RHF2,unreviewed,E5RHF2_HUMAN,COP9 signalosome subunit 5,COPS5,Homo sapiens (Human),151,E5RHF2_COPS5
COPS5,E5RHH5,unreviewed,E5RHH5_HUMAN,COP9 signalosome subunit 5,COPS5,Homo sapiens (Human),197,E5RHH5_COPS5
COPS5,E5RK55,unreviewed,E5RK55_HUMAN,COP9 signalosome subunit 5,COPS5,Homo sapiens (Human),78,E5RK55_COPS5
COPS6,Q7L5N1,reviewed,CSN6_HUMAN,COP9 signalosome complex subunit 6 (SGN6) (Signalosome subunit 6) (JAB1-containing signalosome subunit 6) (MOV34 homolog) (Vpr-interacting protein) (hVIP),COPS6 CSN6 HVIP,Homo sapiens (Human),327,Q7L5N1_COPS6
COPS6,C9JQK5,unreviewed,C9JQK5_HUMAN,COP9 signalosome subunit 6,COPS6,Homo sapiens (Human),41,C9JQK5_COPS6
COPS6,E7EM64,unreviewed,E7EM64_HUMAN,COP9 signalosome complex subunit 6,COPS6,Homo sapiens (Human),326,E7EM64_COPS6
COPS6,H7C3T0,unreviewed,H7C3T0_HUMAN,COP9 signalosome subunit 6,COPS6,Homo sapiens (Human),123,H7C3T0_COPS6
STAMBP,O95630,reviewed,STABP_HUMAN,STAM-binding protein (EC 3.4.19.-) (Associated molecule with the SH3 domain of STAM) (Endosome-associated ubiquitin isopeptidase),STAMBP AMSH,Homo sapiens (Human),424,O95630_STAMBP
STAMBP,A0A804HHU9,unreviewed,A0A804HHU9_HUMAN,STAM binding protein,STAMBP,Homo sapiens (Human),421,A0A804HHU9_STAMBP
STAMBP,A0A804HHV2,unreviewed,A0A804HHV2_HUMAN,STAM binding protein,STAMBP,Homo sapiens (Human),394,A0A804HHV2_STAMBP
STAMBP,A0A804HI64,unreviewed,A0A804HI64_HUMAN,STAM binding protein,STAMBP,Homo sapiens (Human),339,A0A804HI64_STAMBP
STAMBP,A0A804HIF8,unreviewed,A0A804HIF8_HUMAN,STAM binding protein,STAMBP,Homo sapiens (Human),336,A0A804HIF8_STAMBP
STAMBP,A0A804HII8,unreviewed,A0A804HII8_HUMAN,STAM binding protein,STAMBP,Homo sapiens (Human),410,A0A804HII8_STAMBP
STAMBP,A0A804HIJ2,unreviewed,A0A804HIJ2_HUMAN,STAM binding protein,STAMBP,Homo sapiens (Human),421,A0A804HIJ2_STAMBP
STAMBP,A0A804HIV0,unreviewed,A0A804HIV0_HUMAN,STAM binding protein,STAMBP,Homo sapiens (Human),322,A0A804HIV0_STAMBP
STAMBP,A0A804HJ64,unreviewed,A0A804HJ64_HUMAN,STAM binding protein,STAMBP,Homo sapiens (Human),289,A0A804HJ64_STAMBP
STAMBP,A0A804HJC8,unreviewed,A0A804HJC8_HUMAN,STAM binding protein,STAMBP,Homo sapiens (Human),435,A0A804HJC8_STAMBP
STAMBP,A0A804HJD9,unreviewed,A0A804HJD9_HUMAN,STAM binding protein,STAMBP,Homo sapiens (Human),128,A0A804HJD9_STAMBP
STAMBP,A0A804HJE8,unreviewed,A0A804HJE8_HUMAN,STAM binding protein,STAMBP,Homo sapiens (Human),82,A0A804HJE8_STAMBP
STAMBP,A0A804HJS0,unreviewed,A0A804HJS0_HUMAN,STAM binding protein,STAMBP,Homo sapiens (Human),423,A0A804HJS0_STAMBP
STAMBP,A0A804HKA6,unreviewed,A0A804HKA6_HUMAN,STAM binding protein,STAMBP,Homo sapiens (Human),424,A0A804HKA6_STAMBP
STAMBP,A0A804HKL2,unreviewed,A0A804HKL2_HUMAN,STAM binding protein,STAMBP,Homo sapiens (Human),214,A0A804HKL2_STAMBP
STAMBP,A0A804HL27,unreviewed,A0A804HL27_HUMAN,STAM binding protein,STAMBP,Homo sapiens (Human),428,A0A804HL27_STAMBP
STAMBP,A0A804HL38,unreviewed,A0A804HL38_HUMAN,STAM binding protein,STAMBP,Homo sapiens (Human),209,A0A804HL38_STAMBP
STAMBP,C9JEK5,unreviewed,C9JEK5_HUMAN,STAM binding protein,STAMBP,Homo sapiens (Human),214,C9JEK5_STAMBP
STAMBP,C9JK83,unreviewed,C9JK83_HUMAN,STAM-binding protein,STAMBP,Homo sapiens (Human),318,C9JK83_STAMBP
STAMBP,F5H5B9,unreviewed,F5H5B9_HUMAN,STAM binding protein,STAMBP,Homo sapiens (Human),380,F5H5B9_STAMBP
STAMBP,L8ECD1,unreviewed,L8ECD1_HUMAN,Alternative protein STAMBP,STAMBP,Homo sapiens (Human),65,L8ECD1_STAMBP
STAMBPL1,Q96FJ0,reviewed,STALP_HUMAN,AMSH-like protease (AMSH-LP) (EC 3.4.19.-) (STAM-binding protein-like 1),STAMBPL1 AMSHLP KIAA1373,Homo sapiens (Human),436,Q96FJ0_STAMBPL1
BRCC3,P46736,reviewed,BRCC3_HUMAN,Lys-63-specific deubiquitinase BRCC36 (EC 3.4.19.-) (BRCA1-A complex subunit BRCC36) (BRCA1/BRCA2-containing complex subunit 3) (BRCA1/BRCA2-containing complex subunit 36) (BRISC complex subunit BRCC36),BRCC3 BRCC36 C6.1A CXorf53,Homo sapiens (Human),316,P46736_BRCC3
BRCC3,A0A0A0MS96,unreviewed,A0A0A0MS96_HUMAN,BRCA1/BRCA2-containing complex subunit 3,BRCC3,Homo sapiens (Human),90,A0A0A0MS96_BRCC3
BRCC3,D3DWY6,unreviewed,D3DWY6_HUMAN,Lys-63-specific deubiquitinase (EC 3.4.19.-),BRCC3 hCG_2003099,Homo sapiens (Human),258,D3DWY6_BRCC3
BRCC3,H7C413,unreviewed,H7C413_HUMAN,BRCA1/BRCA2-containing complex subunit 3,BRCC3,Homo sapiens (Human),85,H7C413_BRCC3
BRCC3,X6RJS7,unreviewed,X6RJS7_HUMAN,Lys-63-specific deubiquitinase (EC 3.4.19.-),BRCC3,Homo sapiens (Human),226,X6RJS7_BRCC3
MYSM1,Q5VVJ2,reviewed,MYSM1_HUMAN,"Deubiquitinase MYSM1 (2A-DUB) (EC 3.4.19.-) (Myb-like, SWIRM and MPN domain-containing protein 1)",MYSM1 KIAA1915,Homo sapiens (Human),828,Q5VVJ2_MYSM1
MYSM1,A0A590UJD8,unreviewed,A0A590UJD8_HUMAN,"Myb-like, SWIRM and MPN domain-containing protein 1",MYSM1,Homo sapiens (Human),806,A0A590UJD8_MYSM1
MYSM1,A0A590UJT8,unreviewed,A0A590UJT8_HUMAN,"Myb like, SWIRM and MPN domains 1",MYSM1,Homo sapiens (Human),111,A0A590UJT8_MYSM1
MYSM1,A0A590UJW2,unreviewed,A0A590UJW2_HUMAN,"Myb like, SWIRM and MPN domains 1",MYSM1,Homo sapiens (Human),573,A0A590UJW2_MYSM1
MYSM1,A0A590UK32,unreviewed,A0A590UK32_HUMAN,"Myb like, SWIRM and MPN domains 1",MYSM1,Homo sapiens (Human),526,A0A590UK32_MYSM1
MYSM1,A0A8V8TKW8,unreviewed,A0A8V8TKW8_HUMAN,"Myb-like, SWIRM and MPN domain-containing protein 1",MYSM1,Homo sapiens (Human),820,A0A8V8TKW8_MYSM1
MYSM1,A0A8V8TMF1,unreviewed,A0A8V8TMF1_HUMAN,"Myb like, SWIRM and MPN domains 1",MYSM1,Homo sapiens (Human),119,A0A8V8TMF1_MYSM1
MPND,Q8N594,reviewed,MPND_HUMAN,MPN domain-containing protein (EC 3.4.-.-),MPND,Homo sapiens (Human),471,Q8N594_MPND
MPND,M0QXC4,unreviewed,M0QXC4_HUMAN,MPN domain containing,MPND,Homo sapiens (Human),109,M0QXC4_MPND
MPND,M0QXK5,unreviewed,M0QXK5_HUMAN,MPN domain containing,MPND,Homo sapiens (Human),121,M0QXK5_MPND
MPND,M0R044,unreviewed,M0R044_HUMAN,MPN domain containing,MPND,Homo sapiens (Human),419,M0R044_MPND
MPND,M0R0F2,unreviewed,M0R0F2_HUMAN,MPN domain containing,MPND,Homo sapiens (Human),469,M0R0F2_MPND
MPND,M0R189,unreviewed,M0R189_HUMAN,MPN domain containing,MPND,Homo sapiens (Human),503,M0R189_MPND
MPND,W4VSR2,unreviewed,W4VSR2_HUMAN,MPN domain containing,MPND FLJ14981 hCG_2004608,Homo sapiens (Human),501,W4VSR2_MPND
PSMD7,P51665,reviewed,PSMD7_HUMAN,26S proteasome non-ATPase regulatory subunit 7 (26S proteasome regulatory subunit RPN8) (26S proteasome regulatory subunit S12) (Mov34 protein homolog) (Proteasome subunit p40),PSMD7 MOV34L,Homo sapiens (Human),324,P51665_PSMD7
PSMD7,H3BNT7,unreviewed,H3BNT7_HUMAN,"Proteasome 26S subunit, non-ATPase 7",PSMD7,Homo sapiens (Human),177,H3BNT7_PSMD7
PSMD7,H3BQV2,unreviewed,H3BQV2_HUMAN,"Proteasome 26S subunit, non-ATPase 7",PSMD7,Homo sapiens (Human),43,H3BQV2_PSMD7
PSMD7,H3BTM8,unreviewed,H3BTM8_HUMAN,"Proteasome 26S subunit, non-ATPase 7",PSMD7,Homo sapiens (Human),198,H3BTM8_PSMD7
PRPF8,Q6P2Q9,reviewed,PRP8_HUMAN,Pre-mRNA-processing-splicing factor 8 (220 kDa U5 snRNP-specific protein) (PRP8 homolog) (Splicing factor Prp8) (p220),PRPF8 PRPC8,Homo sapiens (Human),2335,Q6P2Q9_PRPF8
